;Test;Delta Oz;Theta Oz;Alpha Oz;Beta Oz;Delta O1;Theta O1;Alpha O1;Beta O1;Delta PO7;Theta PO7;Alpha PO7;Beta PO7;Delta O2;Theta O2;Alpha O2;Beta O2;Delta PO8;Theta PO8;Alpha PO8;Beta PO8;Delta PO3;Theta PO3;Alpha PO3;Beta PO3;Delta PO4;Theta PO4;Alpha PO4;Beta PO4
S16;Resting;0.01813271566777925;0.022059063594685305;0.07140497967345595;0.02298141485629547;0.01864816455951721;0.02141871198776724;0.07108136644802217;0.02504444711437912;0.017801854429478698;0.02217288647311673;0.061741798841206764;0.022935389009276122;0.016260782778311725;0.020742376507463654;0.0702478855368449;0.021596033261199743;0.015280316601315565;0.020568273281725634;0.0673731822506068;0.022188974973273875;0.013520736413034487;0.016254190888686713;0.07597818272573373;0.017929009938184585;0.012837232528278984;0.016985389057494617;0.08934799012460666;0.01910174727940653
S18;Resting;0.01874362666855471;0.03327061982144217;0.03570317658916801;0.03239987766783401;0.015141943520984951;0.03644077958910086;0.038279790573967985;0.03629025821536617;0.015563889624640734;0.04180387238106259;0.048786004427686394;0.04090567735204266;0.022475718606078984;0.03669027947722159;0.03442728018457214;0.03441071614935685;0.01786479800942221;0.033434789372160496;0.0406571269905909;0.037900037412326934;0.015023500393960137;0.03527330970376936;0.04023154759855005;0.032774818741932873;0.017206082079535473;0.03152421892254239;0.03679268406842422;0.03341214636637805
S20;Resting;0.014075597750615662;0.014898225790331872;0.09679101435335276;0.018498075494848595;0.014379626012327179;0.01143321319057312;0.09679183157691293;0.019377205498169965;0.0059919893867502036;0.007883702197056062;0.10734684258851199;0.020547934394631286;0.004475124063810227;0.006711701237066065;0.09840878044566045;0.0182747846763628;0.004089814510964128;0.006343370173086513;0.11027005850503757;0.01960603959968603;0.005910556225839527;0.006934677900472629;0.1086144835925673;0.017810645598266044;0.003560909146375266;0.005002929613593593;0.09649100051037089;0.014432584586049967
S21;Resting;0.021643268375318228;0.03696136198573383;0.028338999706323826;0.029290069638968314;0.0213455007338852;0.0448387943932716;0.02893102803468734;0.03222966037044087;0.02134601994997606;0.04445118092886071;0.03531312966259575;0.03753235335678774;0.02307539679765906;0.03537693013052532;0.03414118142297946;0.032273828117459595;0.023787837066050047;0.03754853150178822;0.03236047264004488;0.02973258366248826;0.018125362086371992;0.034255373049418975;0.02313625888423082;0.022693951125988533;0.018928604305296148;0.02965891026618651;0.02395073379181956;0.023594594407175006
S22;Resting;0.014496297375750639;0.01661954849283364;0.03969600848591195;0.05436052272240672;0.014014684828338658;0.016670157161831938;0.04135718787202162;0.05461056911834502;0.013868097777272414;0.01609396860987231;0.03977681830979691;0.053541748449493824;0.012289269700029233;0.016928061510747897;0.04359266648098561;0.05393341797879649;0.01217470897213911;0.018869476647895393;0.040718751675360855;0.0533876787897645;0.013646958629737837;0.01522966469040975;0.03932469005394745;0.052875775524777666;0.01244404056667132;0.015863727670493093;0.04672260838645665;0.05423256757828693
S24;Resting;0.008399111479900334;0.007447936256985065;0.08491148152617758;0.006367291089777302;0.0084047766047354;0.007926498419420627;0.07818091707206934;0.006918916989594772;0.008883472561294733;0.008693305974815562;0.11178388847609783;0.008874833111263516;0.007720290090518091;0.007958444202718167;0.12231265221043607;0.007048589502332602;0.007094701783078635;0.00881943779384036;0.14211651401207556;0.008631025641076512;0.008007908753235978;0.007367922081601445;0.07764137332639347;0.006929139577843314;0.007050457728164993;0.007702341749823701;0.17309125600964906;0.008332355338813751
S3;Visual field;0.058363328589850896;0.030271036792438335;0.011109275264687461;0.021148380093421047;0.05856286881240783;0.03157982492326763;0.01194035407251366;0.022693893722604577;0.059260838244288974;0.03130014292168164;0.012455557509526729;0.024164243287506305;0.056801078294345865;0.03013275422113986;0.011338537490221767;0.02159526804620861;0.05678456019405925;0.031587717793733;0.01221635345968167;0.023233241552297456;0.054685345600942833;0.03166833768875076;0.012488671200228852;0.022264119300661453;0.05085444574881243;0.028024431226838335;0.011219707239226245;0.021690678509490104
S5;Visual field;0.013918209203132387;0.017973822192633323;0.05742414885429495;0.030384330926259397;0.01503596413633849;0.018623793303940782;0.061979885314939934;0.03183494939973456;0.017071272699848455;0.025215742820855497;0.07703180872643288;0.0589553229860072;0.014372811634042389;0.017607963823839067;0.05577472082105069;0.03021197558038717;0.014193138234107935;0.017473302904609717;0.0605971209458539;0.03151498383486429;0.012004739920135767;0.015062326216068872;0.05567367768828522;0.02855110390862936;0.01363843603498704;0.017238937894570122;0.05261263384676615;0.02874956120500675
S6;Visual field;0.022754354416082152;0.03303286980731653;0.03900104880037359;0.03171400178034382;0.023330321240552877;0.034781028823846434;0.03763894437017252;0.0377514850238062;0.02619982433669706;0.03541028977320404;0.036933067183546116;0.04457710379975049;0.022165350696127458;0.033515680348468434;0.03956798444400846;0.033243241817661785;0.019563827224890338;0.02924922783217528;0.03999147148154994;0.03452687325389104;0.01963269261599336;0.02810063818508737;0.034875579572515296;0.029189146444346892;0.01723693148596248;0.02498501404134318;0.04306352435661045;0.023951910659263623
S7;Visual field;0.041487665156559154;0.04516971251188749;0.01888896503416512;0.021443082692257566;0.041985611247533965;0.04530136680488199;0.01998303330583353;0.023368669029711034;0.04180608710125166;0.046794883753182644;0.020583066452529462;0.024758292596516837;0.04421375240736703;0.04471710701103593;0.018313672916103176;0.021720874461524646;0.03974780159142674;0.04561711246945058;0.01874999446042176;0.02438498448814174;0.03624815105515081;0.041181997429569496;0.017855935124979815;0.01819890255109235;0.03929182410478592;0.04017400095583351;0.01678703975194045;0.017233242976613838
S10;Visual field;0.0248536541765419;0.025935435216936167;0.05654553442147258;0.015343556779218516;0.024958122093580608;0.02551215355705031;0.052214342833104034;0.015190381854754666;0.024619369394805555;0.025849614244688256;0.05106565958921772;0.015408030999854046;0.025350679230120774;0.026473317604695283;0.06162124506488206;0.016141801678794768;0.027501537077975025;0.027811032148895826;0.06871893832264529;0.019029499919194746;0.036222466977965086;0.028733271378104625;0.04814525415300203;0.01461117989334209;0.023852778547171948;0.02465256886992889;0.0596691417049277;0.015039926382887356
S11;Visual field;0.022349439412721904;0.03751722958938714;0.04007406610585652;0.028733705871845365;0.023508741187531008;0.037553067951261135;0.03882974447146867;0.028327181393724265;0.023591397251352644;0.03630670541525577;0.03293283943643708;0.027134746635775787;0.02190742955389644;0.03641207642183531;0.04074314859915577;0.03259700599599917;0.021296643701812456;0.03632031404947899;0.03763552444206413;0.032065166412620034;0.023444388500887897;0.03579649956804116;0.04597392864700389;0.024768537784010516;0.020566604559501708;0.03453843036320462;0.04790401052102101;0.02825041089355721
S15;Visual field;0.011607072867745214;0.022657802263501906;0.07079609886946042;0.022279335743900248;0.013018524980219643;0.025023777588327044;0.07068256663795695;0.023829919557195944;0.012940236550039303;0.02505047372803183;0.06444914530850723;0.02315187329853695;0.011090409457288031;0.022031195482129333;0.06926288654541661;0.021846790689944103;0.010745042457465834;0.02270273875837742;0.06834178162451608;0.022781007488245936;0.010697141354876814;0.021901771042473324;0.06681769506017901;0.020758508369196325;0.009816059156732108;0.021179347911905087;0.07428376018727492;0.020482381447768063
S16;Visual field;0.04320288713406576;0.040328715360058505;0.022970159959480204;0.02357206734787014;0.0412982431332742;0.04084788265262344;0.02256002169778391;0.025821212473676948;0.03861334294972824;0.040438421264670746;0.02169582727924304;0.024035254060658314;0.043041725007792485;0.04113362893421806;0.02123682762771127;0.02327623497816072;0.04259204966102909;0.039337751775482696;0.019980686274936342;0.02572105621518455;0.033226129570591435;0.03209060294493222;0.02085263145550188;0.017630893411498243;0.03680397313261829;0.033775017535558345;0.022078749928504497;0.01756522732508978
S18;Visual field;0.021376293357774787;0.034679875545678834;0.034907402689110203;0.03319563484133681;0.022029055826906216;0.03563369058433565;0.03599310226667417;0.034455782543554914;0.021049835995177905;0.03930464611974496;0.03637237145333839;0.03613959445375638;0.021924366335758644;0.03374217301358504;0.030032825418265328;0.031996637352792914;0.022116360922681804;0.03398067764982803;0.029908263223427902;0.0325239073455839;0.018815668435751706;0.033760214512421304;0.04691414530076568;0.03582311438011477;0.01890763150061001;0.031154444162963972;0.03444529811781901;0.033449055002327255
S20;Visual field;0.0480414694587992;0.030492342825611956;0.03636922891361114;0.02244601418058397;0.04589746701432876;0.031340282791930324;0.03673390819994823;0.022207302288432925;0.046073454409971765;0.030558856663834726;0.031126944261085858;0.024730341657834477;0.046004562143298615;0.03117695767611875;0.0295652021753863;0.02483458012093161;0.04218867677387536;0.029558592548285054;0.02194469569856958;0.02249878182814283;0.03816804677481931;0.025178628882699734;0.040277188606863044;0.01769244173979621;0.03768292416314687;0.02325603312168921;0.034273922602634885;0.016285309879805292
S21;Visual field;0.044862296519436205;0.037775454920223106;0.02247378971994644;0.019367082151027372;0.043841486028127256;0.03722565319745766;0.02204300690077651;0.020440714848648955;0.04215632588998533;0.03791848252358647;0.02062373535358924;0.02098070803334079;0.04492273928054528;0.03658264366615789;0.023503219188056472;0.018703339025447175;0.04794625132669666;0.03650406414418941;0.018806780643302223;0.018701069422223496;0.03390073970241794;0.03251828571126195;0.018879043936297885;0.015872731761042275;0.03473356415770103;0.030615645271619116;0.020396249595621946;0.015988675545474857
S22;Visual field;0.025215711963205246;0.022349990487819164;0.020545258929995116;0.057092072655843956;0.025270375861744833;0.02195609178678728;0.020557524389238472;0.05742042465344387;0.024451777783197983;0.02185650785173825;0.01793475595391683;0.05606726602483021;0.02330006838155198;0.02155558595949775;0.02015129860041528;0.055263465258145614;0.023237405514309688;0.021151777946344305;0.01676003156017249;0.05290987074532037;0.022806506106885432;0.020654011171005127;0.022841187001437856;0.05525795374755339;0.021875778824969792;0.020214845639832512;0.02735253813556214;0.05505713760545167
S24;Visual field;0.03036857627897533;0.04057804148266353;0.030760274972771433;0.0179123052214712;0.031883682433750525;0.03930908056561716;0.030973288385557414;0.018977605070225556;0.033352598032331565;0.046061813497898695;0.036098005433532414;0.021899091713794075;0.03021540738652695;0.04447493744364892;0.034893323651501905;0.018559682211698465;0.03080571481450645;0.05171253618999585;0.03642011096937177;0.020080828154744865;0.026031018936027887;0.03390645143592162;0.034196143544453134;0.01922990567221904;0.02826869635780435;0.04409937012956045;0.048862816130638184;0.02094300595580903
